"comID","lfile.VOL","lfile.ABM"
"116098840","116098840.html","Coventry Wangumbaug Lake_116098840.html"
"116115456","116115456.html",NA
"116129112","116129112.html",NA
"121932681","121932681.html",NA
"121937190","121937190.html","Long Pond_121937190.html"
"121937214","121937214.html",NA
"121945395","121945395.html","Pataganset Lake East Lyme_121945395.html"
"122155641","122155641.html",NA
"122356299","122356299.html","Alexander Lake_122356299.html"
"122365526","122365526.html",NA
"122963825","122963825.html",NA
"122972770","122972770.html","Wononscopomuc Lake_122972770.html"
"122976745","122976745.html",NA
"122986080","122986080.html","East Twin Lake Washinee Lake_122986080.html"
"122986085","122986085.html",NA
"122986238","122986238.html","Bantam Lake Litchfield-Morris_122986238.html"
"122986239","122986239.html",NA
"123000794","123000794.html",NA
"123009127","123009127.html","Silver Lake_123009127.html"
"123009804","123009804.html","Lake Beseck_123009804.html"
"123014500","123014500.html","Bashan Lake_123014500.html"
"123627913","123627913.html",NA
"123631308","123631308.html",NA
"55497527","55497527.html",NA
"121935544",NA,"Amos Lake_121935544.html"
"121937110",NA,"Avery Pond_121937110.html"
"122946916",NA,"Ball Pond_122946916.html"
"122369291",NA,"Beach Pond_122369291.html"
"122369292",NA,"Beachdale Pond_122369292.html"
"122972901",NA,"Beardsley Pond Deep Hole_122972901.html"
"116131972",NA,"Bigelow Pond_116131972.html"
"122359984",NA,"Billings Lake_122359984.html"
"116132018",NA,"Bissonnette Pond Deep Hole_116132018.html"
"122177570",NA,"Black Pond_122177570.html"
"123629933",NA,"Burr Pond_123629933.html"
"123021082",NA,"Cedar Lake_123021082.html"
"116097208",NA,"Columbia Lake_116097208.html"
"116129090",NA,"Crystal Lake Ellington_116129090.html"
"123631512",NA,"Crystal Lake Winchester_123631512.html"
"116098784",NA,"Eagleville Pond_116098784.html"
"121933826",NA,"Gardner Lake_121933826.html"
"122359799",NA,"Glasgo Pond_122359799.html"
"121939074",NA,"Gorton Pond_121939074.html"
"136215971",NA,"Green Fall Reservoir_136215971.html"
"116098484",NA,"Halls Pond Willington_116098484.html"
"116108086",NA,"Halls Pond_116108086.html"
"122954848",NA,"Hatch Pond_122954848.html"
"123631518",NA,"Highland Lake_123631518.html"
"122357660",NA,"Killingly Pond_122357660.html"
"116131688",NA,"Lake Chaffee_116131688.html"
"123012648",NA,"Lake Hayward_123012648.html"
"121937117",NA,"Lake of Isles_121937117.html"
"122982929",NA,"Lake Quassapaug Middlebury_122982929.html"
"123008293",NA,"Lake Terramuggus Marlborough_123008293.html"
"122986126",NA,"Lake Waramaug_122986126.html"
"122968089",NA,"Lake Winchester_122968089.html"
"122975624",NA,"Lake Zoar_122975624.html"
"121937174",NA,"Lantern Hill Pond_121937174.html"
"122956553",NA,"Long Meadow Pond NLA2012 Deep Hole_122956553.html"
"116115490",NA,"Lower Bolton Lake_116115490.html"
"116129668",NA,"Mashapaug Pond_116129668.html"
"123017367",NA,"Messerschmidt Pond_123017367.html"
"122947770",NA,"Mohawk Pond_122947770.html"
"123021073",NA,"Moodus Reservoir, Lower_123021073.html"
"122362533",NA,"Moosup Pond_122362533.html"
"116131620",NA,"Morey Pond_116131620.html"
"122956184",NA,"Morris Reservoir NLA2007,  NLA2012, NLA2017_122956184.html"
"122964706",NA,"Mount Tom Pond_122964706.html"
"123016431",NA,"Norwich Pond_123016431.html"
"122359746",NA,"Pachaug Pond_122359746.html"
"122968160",NA,"Park Pond Winchester_122968160.html"
"123014003",NA,"Pattaconk Reservoir_123014003.html"
"123021068",NA,"Pocotopaug Lake_123021068.html"
"121945746",NA,"Powers Lake_121945746.html"
"122356531",NA,"Quinebaug Pond_122356531.html"
"122170282",NA,"Quonnipaug Lake_122170282.html"
"121933768",NA,"Red Cedar Lake Lebanon_121933768.html"
"122945660",NA,"Riga Lake_122945660.html"
"123018054",NA,"Rogers Lake_123018054.html"
"122365552",NA,"Roseland Lake_122365552.html"
"122963716",NA,"Squantz Pond_122963716.html"
"122981220",NA,"Stillwater Pond_122981220.html"
"122947698",NA,"Tyler Lake_122947698.html"
"123018006",NA,"Uncas Pond_123018006.html"
"123632852",NA,"West Hill Pond_123632852.html"
"122947662",NA,"West Side Pond_122947662.html"
"123001588",NA,"Whites Pond_123001588.html"
"122986115",NA,"Woodridge Lake_122986115.html"
